Feature	mean_imp	base	window	stat
r_value_mean_t10_0	0.00110418185782843	r_value	0	mean
meanalp_mean_t10_5	0.00110261489758243	meanalp	5	mean
totusjh_min_t10_2	0.00109851530416641	totusjh	2	min
r_value_range_t10_5	0.00109484750916537	r_value	5	range
meangbh_q5_t10_5	0.00109202848454913	meangbh	5	q5
absnjzh_sd_l1_t10_1	0.00107236349884667	absnjzh	1	sd_l1
absnjzh_max_l1_t10_5	0.001046604260426	absnjzh	5	max_l1
totpot_slope_t10_5	0.00104566829832857	totpot	5	slope
epsx_min_t10_5	0.001041690426444	epsx	5	min
totusjh_range_l1_t10_4	0.00103872456907239	totusjh	4	range_l1
totusjz_max_t10_3	0.00100831354547354	totusjz	3	max
savncpp_max_t10_2	0.00100489402585514	savncpp	2	max
